Timestamp,Acc x (g),Acc y (g),Acc z (g),Gyro x (deg/s),Gyro y (deg/s),Gyro z (deg/s),Beccheggio/Pitch (deg/s),Rollio/Roll (deg/s),Imbardata/Yaw (deg/s),Mag x (microTesla),Mag y (microTesla),Mag z (microTesla),Pressione (milliBar),Altitudine (m)
0.0,0.144,-0.086,0.96,-4.756,4.817,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.143,-0.086,0.9616,-5.0,5.305,1.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.019,0.142,-0.086,0.9632,-5.976,5.976,1.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.14100000000000001,-0.086,0.9648,-7.683,6.463,1.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.14,-0.086,0.9663999999999999,-8.11,7.073,3.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.139,-0.086,0.968,-20.61,6.098,7.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.135,-0.081,0.972,-33.841,3.78,8.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.071,0.1338,-0.08600000000000001,0.9713999999999999,-11.037,5.183,5.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.079,0.1326,-0.091,0.9708,-0.976,5.305,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.13140000000000002,-0.096,0.9702,-4.39,3.841,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.1302,-0.101,0.9696,-2.012,3.841,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.129,-0.106,0.969,0.793,4.695,2.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.132,-0.11,0.972,0.0,4.817,1.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.131,0.12560000000000002,-0.1062,0.9663999999999999,-3.354,4.085,-0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.141,0.1192,-0.1024,0.9608,-7.317,2.744,-0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.11280000000000001,-0.0986,0.9551999999999999,1.524,3.659,-3.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.10640000000000001,-0.0948,0.9496,2.5,3.537,-3.963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.1,-0.091,0.944,-0.366,3.049,-0.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.104,-0.102,0.952,-0.183,3.902,0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.191,0.10819999999999999,-0.104,0.957,-0.793,3.11,-0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.201,0.1124,-0.106,0.962,-0.061,2.378,-1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21,0.1166,-0.108,0.967,3.171,3.476,-0.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.12079999999999999,-0.11,0.972,3.415,3.537,-0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23,0.125,-0.112,0.977,2.622,2.805,-1.951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.126,-0.109,0.981,2.927,2.561,-3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.251,0.129,-0.10033333333333333,0.9773333333333333,2.378,3.11,-2.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.261,0.132,-0.09166666666666667,0.9736666666666667,0.671,4.146,-0.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.271,0.135,-0.083,0.97,-0.488,5.244,-1.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28,0.133,-0.0868,0.968,-1.768,5.244,-0.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29,0.131,-0.0906,0.966,-2.439,4.207,-1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.301,0.129,-0.0944,0.964,-1.037,3.841,-2.378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.311,0.127,-0.0982,0.962,0.854,3.293,-2.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
