Timestamp,Wx,Wy,Wz,Gx,Gy,Gz
0.0,-0.122,1.341,-0.244,0.266,-0.134,0.942
0.01,-0.061,0.915,0.244,0.27,-0.135,0.947
0.02,-0.122,1.037,0.061,0.268,-0.135,0.944
0.041,-0.061,0.976,0.061,0.269,-0.136,0.944
0.06,0.061,1.037,0.061,0.271,-0.134,0.944
0.07,0.061,1.098,0.061,0.27,-0.138,0.945
0.08,0.0,1.037,0.061,0.268,-0.135,0.946
0.101,0.122,0.915,0.061,0.271,-0.136,0.944
0.111,0.183,0.854,0.061,0.27,-0.137,0.944
0.13,0.0,0.854,0.0,0.268,-0.135,0.947
0.14,0.122,0.854,0.061,0.269,-0.136,0.946
0.161,-0.183,0.854,0.122,0.269,-0.134,0.943
0.171,-0.183,0.915,0.061,0.27,-0.136,0.942
0.19,-0.061,0.854,0.0,0.27,-0.134,0.943
0.2,-0.061,0.732,0.0,0.268,-0.134,0.945
0.221,0.122,0.732,0.0,0.269,-0.134,0.944
0.231,0.122,0.671,-0.061,0.265,-0.135,0.94
0.241,0.122,0.61,-0.061,0.269,-0.136,0.945
0.271,0.061,0.61,0.122,0.272,-0.132,0.948
0.281,-0.183,0.61,0.061,0.271,-0.134,0.945
0.291,-0.244,0.671,0.061,0.271,-0.136,0.945
0.312,-0.122,0.732,0.0,0.268,-0.135,0.946
0.331,-0.122,0.793,0.061,0.267,-0.136,0.942
0.341,-0.122,0.671,0.061,0.27,-0.136,0.943
0.351,-0.122,0.671,0.122,0.271,-0.135,0.942
0.372,-0.061,0.732,0.061,0.271,-0.135,0.945
0.382,-0.061,0.732,0.061,0.271,-0.135,0.947
0.391,-0.183,0.732,0.122,0.269,-0.134,0.944
0.401,-0.122,0.793,0.122,0.27,-0.133,0.945
0.411,-0.122,0.793,0.122,0.268,-0.133,0.945
0.432,0.0,0.854,0.061,0.27,-0.135,0.946
0.442,-0.122,0.793,0.061,0.27,-0.135,0.943
0.461,-0.061,0.793,0.0,0.27,-0.135,0.945
0.471,-0.122,0.793,0.183,0.27,-0.135,0.944
0.492,-0.122,0.915,0.061,0.272,-0.137,0.947
0.502,-0.061,0.793,0.061,0.273,-0.136,0.944
0.512,-0.061,0.854,0.122,0.27,-0.138,0.938
0.542,0.061,0.854,0.061,0.271,-0.135,0.946
0.552,0.061,0.793,0.122,0.27,-0.135,0.943
0.562,0.183,0.793,0.122,0.27,-0.135,0.943
0.583,0.0,0.854,0.0,0.268,-0.135,0.947
0.602,0.0,0.915,0.061,0.269,-0.135,0.943
0.612,0.0,0.915,0.061,0.27,-0.137,0.945
0.622,0.061,0.976,0.122,0.272,-0.134,0.943
0.643,0.183,0.976,0.0,0.271,-0.136,0.946
0.662,0.122,0.854,0.122,0.271,-0.136,0.942
0.672,0.061,0.915,0.061,0.27,-0.135,0.945
0.682,0.061,0.854,0.0,0.268,-0.134,0.945
0.703,0.244,0.976,0.061,0.27,-0.134,0.943
0.713,0.122,0.915,0.061,0.268,-0.135,0.942
0.732,0.061,1.037,0.061,0.273,-0.133,0.946
0.742,0.061,1.098,0.061,0.271,-0.134,0.947
0.763,-0.061,1.037,0.061,0.269,-0.135,0.945
0.773,-0.061,1.037,0.122,0.268,-0.135,0.943
0.783,0.0,0.976,0.122,0.27,-0.134,0.941
0.813,0.061,1.037,0.0,0.271,-0.136,0.947
0.823,0.122,1.037,0.0,0.27,-0.136,0.945
0.833,0.061,0.976,0.183,0.268,-0.134,0.946
0.854,0.061,0.976,0.0,0.271,-0.135,0.947
0.873,0.0,1.037,0.122,0.27,-0.136,0.946
0.883,0.0,1.037,0.122,0.27,-0.135,0.944
0.893,0.061,0.976,0.122,0.268,-0.135,0.947
0.914,0.0,1.037,0.061,0.268,-0.136,0.946
0.933,0.0,0.976,0.122,0.269,-0.136,0.946
0.943,-0.061,1.037,0.122,0.269,-0.135,0.943
