Timestamp,Wx,Wy,Wz,Gx,Gy,Gz
0.0,0.0,0.793,0.122,0.245,-0.129,0.947
4.898,0.0,0.854,0.244,0.238,-0.14,0.947
4.917,0.061,0.854,0.183,0.24,-0.14,0.943
4.927,0.0,0.793,0.122,0.239,-0.14,0.945
4.937,0.0,0.793,0.183,0.24,-0.139,0.949
4.947,0.183,0.793,0.244,0.239,-0.14,0.945
4.958,0.122,0.854,0.183,0.241,-0.14,0.948
4.968,-0.061,0.854,0.183,0.242,-0.137,0.95
4.987,-0.183,0.732,0.183,0.238,-0.14,0.945
4.997,-0.183,0.732,0.061,0.24,-0.138,0.946
5.007,-0.122,0.793,0.122,0.24,-0.139,0.946
5.018,-0.183,0.854,0.244,0.24,-0.138,0.95
5.028,-0.183,0.793,0.244,0.241,-0.141,0.948
5.038,-0.183,0.793,0.244,0.241,-0.137,0.947
5.047,-0.122,0.854,0.183,0.239,-0.139,0.949
5.057,-0.061,0.854,0.183,0.238,-0.139,0.95
5.068,0.0,0.793,0.122,0.24,-0.141,0.944
5.078,0.0,0.854,0.122,0.239,-0.139,0.947
5.088,-0.122,0.854,0.122,0.24,-0.139,0.951
5.098,-0.183,0.854,0.244,0.239,-0.14,0.948
5.109,-0.122,0.854,0.122,0.239,-0.141,0.947
5.117,-0.061,0.854,0.183,0.244,-0.141,0.948
5.128,-0.061,0.793,0.244,0.243,-0.139,0.95
5.138,-0.183,0.854,0.183,0.241,-0.141,0.946
5.148,-0.122,0.732,0.122,0.241,-0.14,0.944
5.158,-0.061,0.732,0.061,0.239,-0.14,0.948
5.169,-0.183,0.793,0.122,0.239,-0.14,0.948
5.177,-0.244,0.793,0.122,0.241,-0.139,0.95
5.188,-0.366,0.915,0.122,0.243,-0.142,0.95
5.198,-0.305,0.976,0.061,0.24,-0.142,0.948
5.208,-0.244,0.854,0.061,0.239,-0.141,0.948
5.218,-0.183,0.854,0.061,0.237,-0.142,0.946
5.229,-0.183,0.854,0.122,0.24,-0.139,0.951
5.239,-0.061,0.854,0.122,0.24,-0.14,0.95
5.248,-0.183,0.854,0.061,0.239,-0.138,0.945
5.258,-0.183,0.854,0.0,0.241,-0.141,0.947
5.268,-0.183,0.854,0.122,0.241,-0.14,0.95
5.278,-0.183,0.854,0.183,0.241,-0.138,0.948
5.289,-0.122,0.915,0.122,0.242,-0.14,0.945
5.299,-0.061,0.915,0.0,0.241,-0.141,0.948
5.309,0.0,0.915,0.061,0.242,-0.14,0.951
5.318,-0.061,0.854,0.122,0.241,-0.139,0.948
5.328,-0.183,0.854,0.061,0.242,-0.137,0.951
5.339,-0.305,0.915,0.183,0.239,-0.14,0.947
5.349,-0.183,0.915,0.183,0.239,-0.14,0.949
5.359,-0.305,0.976,0.122,0.239,-0.141,0.946
5.369,-0.244,0.854,0.061,0.24,-0.139,0.947
5.38,-0.244,0.854,0.061,0.238,-0.14,0.95
5.388,-0.366,0.915,0.061,0.24,-0.141,0.949
5.399,-0.366,0.854,0.061,0.241,-0.139,0.948
5.409,-0.427,0.854,0.122,0.24,-0.14,0.949
5.419,-0.427,0.793,0.122,0.239,-0.144,0.949
5.429,-0.366,0.854,0.061,0.241,-0.142,0.948
5.44,-0.305,0.854,0.061,0.241,-0.139,0.947
5.45,-0.488,0.793,-0.061,0.242,-0.141,0.955
5.459,-0.732,0.976,-0.122,0.238,-0.141,0.947
5.469,-0.732,0.915,-0.061,0.239,-0.14,0.947
5.479,-0.732,0.915,-0.122,0.236,-0.14,0.945
5.489,-0.671,0.915,-0.061,0.238,-0.141,0.945
5.5,-0.732,0.976,-0.061,0.24,-0.141,0.946
5.51,-0.671,0.976,-0.061,0.238,-0.138,0.954
5.519,-0.854,1.098,0.0,0.241,-0.14,0.954
5.529,-0.976,1.098,-0.061,0.244,-0.142,0.954
5.539,-1.341,1.098,-0.183,0.241,-0.142,0.943
5.549,-1.28,0.915,-0.244,0.238,-0.14,0.939
5.56,-1.037,0.549,-0.122,0.243,-0.141,0.946
5.57,-1.037,0.976,-0.122,0.24,-0.142,0.947
5.58,-1.098,0.915,-0.061,0.236,-0.139,0.948
5.589,-1.159,0.793,0.0,0.236,-0.143,0.947
5.599,-1.098,0.793,0.0,0.238,-0.144,0.948
5.61,-1.159,0.915,-0.061,0.24,-0.141,0.951
5.62,-1.22,0.915,-0.061,0.24,-0.145,0.947
